,Date,S&P 500,Consumer Discretionary,Consumer Staples,Health Care,Industrials,Information Technology,Materials,Real Estate,Communication Services,Utilities,Financials,Energy
5091,2020-03-30,2626.64990234375,807.52001953125,571.52001953125,1036.97998046875,505.5400085449219,1441.5999755859375,287.3500061035156,199.1300048828125,151.1300048828125,293.57000732421875,356.70001220703125,219.80999755859375
5092,2020-03-31,2584.590087890625,793.1099853515625,560.3300170898438,1032.9000244140625,499.1199951171875,1414.3599853515625,283.2300109863281,192.63999938964844,150.35000610351562,281.7699890136719,346.0199890136719,223.39999389648438
5093,2020-04-01,2470.5,761.6599731445312,550.0800170898438,993.02001953125,476.239990234375,1347.6800537109375,270.2200012207031,180.8699951171875,144.44000244140625,264.5299987792969,325.3699951171875,213.0399932861328
5094,2020-04-02,2526.89990234375,764.3200073242188,566.0,1020.6799926757812,483.20001220703125,1378.3599853515625,274.2699890136719,183.2899932861328,147.07000732421875,272.8500061035156,333.3999938964844,232.3699951171875
5095,2020-04-03,2488.64990234375,753.0900268554688,569.0700073242188,1010.8699951171875,475.70001220703125,1355.5999755859375,267.8599853515625,181.89999389648438,143.83999633789062,262.9700012207031,325.95001220703125,229.25999450683594
5096,2020-04-06,2663.679931640625,811.3099975585938,591.3800048828125,1065.4300537109375,509.1000061035156,1474.5899658203125,288.2300109863281,195.02000427246094,153.47999572753906,283.6099853515625,350.260009765625,241.07000732421875
5097,2020-04-07,2659.409912109375,821.3200073242188,584.27001953125,1055.489990234375,508.1499938964844,1458.9300537109375,295.20001220703125,195.25,154.50999450683594,280.1700134277344,353.55999755859375,245.89999389648438
5098,2020-04-08,2749.97998046875,844.6799926757812,592.47998046875,1099.8800048828125,526.6799926757812,1498.9599609375,309.95001220703125,209.7100067138672,157.05999755859375,295.3299865722656,369.1199951171875,262.4599914550781
5099,2020-04-09,2789.820068359375,856.780029296875,597.1400146484375,1106.010009765625,534.1900024414062,1499.199951171875,323.19000244140625,220.5,158.13999938964844,309.3500061035156,388.2799987792969,259.6300048828125
5100,2020-04-13,2761.6298828125,866.219970703125,592.6099853515625,1095.1500244140625,518.9199829101562,1502.239990234375,316.30999755859375,210.38999938964844,158.2899932861328,299.19000244140625,374.3800048828125,258.57000732421875
5101,2020-04-14,2846.06005859375,902.47998046875,617.6900024414062,1131.3499755859375,528.72998046875,1564.8599853515625,319.95001220703125,217.24000549316406,163.41000366210938,308.0899963378906,375.6199951171875,257.3699951171875
5102,2020-04-15,2783.360107421875,888.3200073242188,608.0399780273438,1125.4200439453125,513.8200073242188,1530.6500244140625,305.5299987792969,208.9600067138672,161.6999969482422,297.739990234375,359.2200012207031,245.33999633789062
5103,2020-04-16,2799.550048828125,905.5499877929688,612.9000244140625,1150.1500244140625,509.489990234375,1549.6700439453125,303.8999938964844,207.72000122070312,162.38999938964844,297.9599914550781,352.989990234375,235.58999633789062
5104,2020-04-17,2874.56005859375,924.0900268554688,622.1199951171875,1173.9300537109375,533.4299926757812,1571.0,316.30999755859375,214.41000366210938,164.69000244140625,307.8299865722656,372.6400146484375,260.1700134277344
5105,2020-04-20,2823.159912109375,912.3699951171875,609.1500244140625,1164.7900390625,519.0499877929688,1542.9599609375,308.2799987792969,206.39999389648438,163.17999267578125,295.8699951171875,365.3500061035156,251.60000610351562
5106,2020-04-21,2736.56005859375,888.0900268554688,595.3400268554688,1128.22998046875,506.510009765625,1479.6800537109375,300.6400146484375,203.0800018310547,157.99000549316406,291.1199951171875,353.6499938964844,247.3800048828125
5107,2020-04-22,2799.31005859375,906.1400146484375,601.739990234375,1146.31005859375,512.3099975585938,1536.9300537109375,307.0299987792969,206.9499969482422,161.75999450683594,299.70001220703125,357.5,256.239990234375
5108,2020-04-23,2797.800048828125,909.0399780273438,595.6099853515625,1151.8299560546875,516.239990234375,1526.3399658203125,308.69000244140625,204.49000549316406,162.91000366210938,294.4200134277344,355.9599914550781,263.9599914550781
5109,2020-04-24,2836.739990234375,922.030029296875,602.260009765625,1168.4300537109375,520.2000122070312,1558.5,313.510009765625,205.0800018310547,164.6300048828125,296.2699890136719,360.989990234375,264.510009765625
5110,2020-04-27,2878.47998046875,933.0499877929688,604.22998046875,1183.7900390625,533.3200073242188,1572.68994140625,321.7799987792969,211.22999572753906,165.5500030517578,299.5,374.0199890136719,270.07000732421875
5111,2020-04-28,2863.389892578125,930.5999755859375,606.8800048828125,1158.5799560546875,543.1300048828125,1550.5799560546875,328.0799865722656,211.27999877929688,162.4199981689453,300.55999755859375,377.4200134277344,275.989990234375
5112,2020-04-29,2939.510009765625,952.0700073242188,604.4099731445312,1167.1500244140625,553.6500244140625,1615.97998046875,336.5,212.02000427246094,170.6199951171875,297.79998779296875,388.7699890136719,296.2799987792969
5113,2020-04-30,2912.429931640625,955.8099975585938,597.5599975585938,1162.030029296875,542.3499755859375,1608.5999755859375,326.54998779296875,210.61000061035156,170.66000366210938,290.7099914550781,378.3399963378906,289.6499938964844
5114,2020-05-01,2830.7099609375,911.719970703125,590.510009765625,1137.8900146484375,526.2100219726562,1561.699951171875,319.4700012207031,203.7899932861328,167.99000549316406,283.6000061035156,365.7900085449219,272.2799987792969
